股票代码,股票名称,东财行业,申万一级,申万二级,申万三级,概念标签,数据日期
000034,神州数码,IT服务Ⅱ,计算机,IT服务Ⅱ,IT服务Ⅲ,AI应用、ChatGPT概念、DeepSeek概念、IT服务Ⅱ、IT服务Ⅲ、中盘股、中证500、云计算、人工智能、信创、内贸流通、区块链、华为昇腾、华为概念、华为海思、存储芯片、安防概念、富时罗素、广东板块、数字经济、数据中心、智能驾驶、智谱AI概念、机器人概念、标准普尔、液冷服务器、深圳特区、深成500、深股通、物联网、网络安全、腾讯云、英伟达概念、融资融券、计算机、边缘计算、阿里概念,2026-09-18
000035,中国天楹,环境治理,环保,环境治理,固废治理,PPP模式、一带一路、人工智能、储能概念、医废处理、固废治理、垃圾分类、富时罗素、小盘股、新能源、机器人概念、标准普尔、氢能源、江苏板块、深股通、环保、环境治理、生物质能发电、破增发价股、绿色电力、节能环保、融资融券,2026-09-18
000036,华联控股,房地产开发,房地产,房地产开发,住宅开发,2026中报预增、住宅开发、富时罗素、广东板块、房地产、房地产开发、标准普尔、深圳特区、深股通、融资融券,2026-09-18
000037,深南电A,电力,公用事业,电力,火力发电,2026中报扭亏、AB股、一带一路、储能概念、公用事业、广东板块、机构重仓、核能核电、深圳特区、火力发电、电力,2026-09-18
000038,大通退,,互联网,互联网服务,其他互联网服务,,2026-09-18
000039,中集集团,通用设备,机械设备,通用设备,金属制品,2026一季报预减、AH股、MSCI中国、一带一路、中盘股、中证500、先进制造风格、养老金、冷链物流、参股券商、参股银行、可燃冰、商业航天、天然气、富时罗素、广东板块、数据中心、机械设备、标准普尔、氢能源、油气资源、海工装备、海洋经济、深圳特区、深成500、深股通、物联网、粤港自贸、融资融券、装配建筑、通用设备、金属制品、雄安新区、风能,2026-09-18
000040,*ST旭蓝,,公用事业,电力,新能源发电,,2026-09-18
000042,中洲控股,房地产开发,房地产,房地产开发,住宅开发,2026中报预增、住宅开发、广东板块、房地产、房地产开发、标准普尔、深圳特区、深股通、融资融券,2026-09-18
000045,深纺织Ａ,光学光电子,电子,光学光电子,面板,AB股、OLED、光学光电子、央国企改革、广东板块、显示技术、深圳特区、深股通、电子、虚拟现实、超清视频、面板,2026-09-18
000046,*ST泛海,,互联网,互联网金融,其他互联网金融,,2026-09-18
000047,ST中侨,,房地产,房地产开发,房地产开发,,2026-09-18
000048,京基智农,养殖业,农林牧渔,养殖业,生猪养殖,2026中报首亏、QFII重仓、乡村振兴、养殖业、农林牧渔、广东板块、机器人概念、机构重仓、深圳特区、深股通、猪肉概念、生猪养殖、融资融券、谷子经济,2026-09-18
000049,德赛电池,电池,电力设备,电池,锂电池,2026中报预增、5G概念、AI眼镜、储能概念、先进封装、华为概念、固态电池、央视50_、富时罗素、小米概念、广东板块、数据中心、新能源、新能源车、无线充电、智能穿戴、标准普尔、消费电子概念、深圳特区、深股通、物联网、电力设备、电池、电池技术、苹果概念、荣耀概念、融资融券、通信技术、钠离子电池、锂电池、锂电池概念,2026-09-18
000050,深天马Ａ,光学光电子,电子,光学光电子,面板,2026中报首亏、MicroLED、MiniLED、OLED、中证500、低市净率、光学光电子、全息技术、华为概念、国产芯片、央国企改革、富时罗素、小盘价值、小盘股、小米概念、屏下摄像、广东板块、新能源车、显示技术、智能家居、智能穿戴、柔性屏(折叠屏)、标准普尔、消费电子概念、深圳特区、深成500、深股通、电子、电子纸概念、破净股、苹果概念、虚拟现实、融资融券、裸眼3D、超清视频、长期破净、面板,2026-09-18
000055,方大集团,装修建材,建筑材料,装修建材,其他建材Ⅲ,2026中报预增、AB股、AI应用、一带一路、乡村振兴、人工智能、低市净率、光伏概念、其他建材Ⅲ、土地流转、广东板块、建筑材料、建筑节能、房屋检测、新材料、新能源、昨日高振幅、最近多板、机构重仓、深圳特区、破净股、破增发价股、绿色电力、融资融券、装修建材、装配建筑、近期新高、长期破净,2026-09-18
000056,*ST皇庭,房地产服务,房地产,房地产服务,物业管理,AB股、IGBT概念、ST股、低价股、半导体概念、参股保险、国产芯片、广东板块、房地产、房地产服务、机构重仓、深圳特区、物业管理、破增发价股、租售同权、长期破净,2026-09-18
000058,深 赛 格,一般零售,商贸零售,一般零售,商业物业经营,AB股、一般零售、光伏概念、华为概念、参股新三板、商业物业经营、商业航天、商贸零售、央国企改革、广东板块、深圳特区、深股通、破增发价股、融资融券,2026-09-18
000059,华锦股份,炼化及贸易,石油石化,炼化及贸易,炼油化工,2026中报扭亏、东北振兴、中特估、化工原料、央国企改革、富时罗素、机构重仓、标准普尔、深股通、炼化及贸易、炼油化工、石油石化、破净股、破增发价股、融资融券、辽宁板块,2026-09-18
000060,中金岭南,工业金属,有色金属,工业金属,铅锌,2026中报预增、PCB、中盘价值、中盘股、中证500、参股期货、央国企改革、富时罗素、小金属概念、工业金属、广东板块、新材料、有色金属、标准普尔、深圳特区、深成500、深股通、稀缺资源、融资融券、铅锌、黄金概念,2026-09-18
000061,农 产 品,一般零售,商贸零售,一般零售,商业物业经营,2026一季报预增、一般零售、区块链、参股银行、商业物业经营、商贸零售、央国企改革、富时罗素、小盘成长、小盘股、广东板块、新零售、标准普尔、深圳特区、深股通、生态农业、电商概念、破增发价股、网红经济、融资融券、食品安全,2026-09-18
000062,深圳华强,其他电子Ⅱ,电子,其他电子Ⅱ,其他电子Ⅲ,2026一季报预增、2026中报预增、MLCC、中盘股、中证500、互联网金融、其他电子Ⅱ、其他电子Ⅲ、养老金、内贸流通、创投、半导体概念、华为昇腾、华为概念、华为海思、富时罗素、广东板块、新能源车、标准普尔、深圳特区、深成500、深股通、电商概念、电子、第三代半导体、融资融券,2026-09-18
000063,中兴通讯,通信设备,通信,通信设备,通信网络设备及器件,5G概念、6G概念、AH股、AI手机、HS300_、IPv6、MSCI中国、云计算、人工智能、低空经济、信创、光纤概念、卫星互联网、国产芯片、在线教育、大盘股、富时罗素、屏下摄像、工业互联网、广东板块、数据中心、无线充电、无线耳机、智慧城市、智能穿戴、标准普尔、消费电子概念、液冷服务器、深圳特区、深成500、深股通、深证100R、物联网、科技风格、算力概念、网络安全、融资融券、超清视频、边缘计算、通信、通信技术、通信网络设备及器件、通信设备、量子科技,2026-09-18
000065,北方国际,专业工程,建筑装饰,专业工程,国际工程,一带一路、专业工程、光伏概念、北京板块、国际工程、央国企改革、富时罗素、小盘价值、小盘股、工程建设、建筑装饰、机构重仓、标准普尔、水利建设、深股通、破增发价股、绿色电力、融资融券、贬值受益、超超临界发电、风能,2026-09-18
000066,中国长城,计算机设备,计算机,计算机设备,其他计算机设备,2026中报预增、5G概念、MSCI中国、中字头、中特估、中盘股、互联网医疗、信创、充电桩、其他计算机设备、军工、军民融合、区块链、华为概念、卫星导航、参股券商、商业航天、国产芯片、大数据、央国企改革、安防概念、富时罗素、广东板块、数字经济、数据中心、数据安全、标准普尔、海工装备、液冷服务器、深圳特区、深成500、深股通、电池技术、破增发价股、网络安全、融资融券、计算机、计算机设备、通信技术、量子科技、钠离子电池、锂电池概念,2026-09-18
000068,华控赛格,环境治理,环保,环境治理,综合环境治理,PPP模式、创投、央国企改革、广东板块、海绵城市、深圳特区、环保、环境治理、电池技术、石墨烯、破发股、综合环境治理、节能环保、锂电池概念,2026-09-18
000069,华侨城Ａ,房地产开发,房地产,房地产开发,商业地产,低价股、低市净率、冰雪经济、商业地产、央国企改革、婴童概念、富时罗素、小盘价值、小盘股、广东板块、房地产、房地产开发、旅游概念、机构重仓、标准普尔、深圳特区、深成500、深股通、电商概念、破净股、破增发价股、融资融券、长期破净,2026-09-18
000070,特发信息,通信设备,通信,通信设备,通信线缆及配套,2026中报预增、5G概念、CPO概念、F5G概念、QFII重仓、东数西算、东方财富热股、人工智能、光纤概念、养老金、军工、华为概念、国资云概念、大数据、央国企改革、富时罗素、小盘股、广东板块、抖音概念(字节概念)、数字经济、数据中心、无人机、昨日高振幅、智慧城市、智慧政务、智能电网、机构重仓、标准普尔、核能核电、深圳特区、深股通、物联网、特高压、电网概念、融资融券、趋势股、通信、通信技术、通信线缆及配套、通信设备、题材股,2026-09-18
000078,ST海王,医药商业,医药生物,医药商业,医药流通,2026中报首亏、ST股、中药概念、低价股、内贸流通、冷链物流、创新药、医疗器械概念、医药商业、医药流通、医药生物、富时罗素、广东板块、标准普尔、深圳特区、病毒防治,2026-09-18
000088,盐 田 港,航运港口,交通运输,航运港口,港口,一带一路、中证500、交通运输、冷链物流、央国企改革、富时罗素、小盘成长、小盘股、广东板块、机构重仓、标准普尔、深圳特区、深成500、深股通、港口、粤港自贸、航运港口、融资融券,2026-09-18
000089,深圳机场,航空机场,交通运输,航空机场,机场,2026中报预增、交通运输、低空经济、养老金、创投、央国企改革、富时罗素、小盘股、广东板块、机场、标准普尔、深圳特区、深成500、深股通、粤港自贸、航空机场、融资融券、高成长股,2026-09-18
000090,天健集团,房地产开发,房地产,房地产开发,住宅开发,2026中报首亏、人工智能、低市净率、住宅开发、光伏概念、养老金、央国企改革、富时罗素、工程建设、广东板块、房地产、房地产开发、数字孪生、新型城镇化、智慧城市、机器人概念、标准普尔、深圳特区、深股通、破净股、租售同权、粤港自贸、红利破净股、红利股、融资融券、装配建筑、长期破净,2026-09-18
000096,广聚能源,炼化及贸易,石油石化,炼化及贸易,油品石化贸易,2026中报预增、内贸流通、央国企改革、广东板块、油品石化贸易、深圳特区、深股通、炼化及贸易、石油石化、粤港自贸、风能、高成长股,2026-09-18
000099,中信海直,航空机场,交通运输,航空机场,航空运输,中字头、交通运输、低空经济、军工、华为概念、央国企改革、小盘股、广东板块、无人机、深圳特区、深成500、深股通、粤港自贸、航母概念、航空机场、航空运输、融资融券、通用航空、风能、飞行汽车(eVTOL),2026-09-18
000100,TCL科技,光学光电子,电子,光学光电子,面板,2026中报预增、AIPC、AI眼镜、AI芯片、HS300_、MSCI中国、MicroLED、MiniLED、OLED、PCB、人工智能、光伏概念、光学光电子、半导体概念、华为概念、参股银行、周期股、大盘股、富时罗素、小米概念、屏下摄像、工业互联网、广东板块、显示技术、柔性屏(折叠屏)、标准普尔、深成500、深股通、深证100R、玻璃基板、电子、电子纸概念、科技风格、绿色电力、股权分散、虚拟现实、融资融券、面板,2026-09-18
000150,*ST宜康,,医药生物,医疗服务,医疗服务,,2026-09-18
000151,中成股份,贸易Ⅱ,商贸零售,贸易Ⅱ,贸易Ⅲ,2026中报扭亏、一带一路、中俄贸易概念、中字头、内贸流通、北京板块、商贸零售、央国企改革、新材料、核能核电、破增发价股、虚拟电厂、融资融券、贬值受益、贸易Ⅱ、贸易Ⅲ,2026-09-18
000153,丰原药业,化学制药,医药生物,化学制药,化学制剂,中药概念、化学制剂、化学制药、医药生物、参股银行、安徽板块、流感、肝素概念,2026-09-18
000155,川能动力,电力,公用事业,电力,风力发电,2026中报预增、中证500、储能概念、光伏概念、公用事业、反内卷概念、四川板块、央国企改革、小盘价值、小盘股、成渝特区、新能源、深成500、深股通、电力、电池技术、破增发价股、绿色电力、节能环保、融资融券、西部大开发、锂电池概念、锂矿概念、风力发电、风能,2026-09-18
000156,华数传媒,电视广播Ⅱ,传媒,电视广播Ⅱ,电视广播Ⅲ,AIGC概念、DeepSeek概念、传媒、低空经济、华为概念、多模态AI、大数据、央国企改革、富时罗素、小盘股、影视概念、数字经济、文娱消费、智慧城市、智慧政务、智能电视、标准普尔、浙江板块、深成500、深股通、物联网、独角兽、电视广播Ⅱ、电视广播Ⅲ、破净股、破发股、破增发价股、虚拟现实、蚂蚁金服概念、融资融券、超清视频、长江三角、阿里概念,2026-09-18
000157,中联重科,工程机械,机械设备,工程机械,工程机械整机,AH股、HS300_、MSCI中国、一带一路、乡村振兴、人工智能、人形机器人、先进制造风格、参股银行、大盘价值、大盘股、富时罗素、工业互联网、工程机械、工程机械整机、工程机械概念、机械设备、标准普尔、深成500、深股通、深证100R、湖南板块、破净股、破增发价股、算力概念、节能环保、融资融券、雅下水电概念,2026-09-18
000158,常山北明,IT服务Ⅱ,计算机,IT服务Ⅱ,IT服务Ⅲ,AI应用、IT服务Ⅱ、IT服务Ⅲ、中盘股、云计算、京津冀、人工智能、信创、冷链物流、创投、区块链、华为昇腾、华为概念、参股银行、国产软件、国资云概念、大数据、央国企改革、富时罗素、工业互联网、数据中心、智慧城市、智谱AI概念、标准普尔、河北板块、深股通、百度概念、网络安全、融资融券、计算机、车联网(车路云)、雄安新区、鸿蒙概念,2026-09-18
000159,国际实业,炼化及贸易,石油石化,炼化及贸易,油品石化贸易,一带一路、光伏概念、内贸流通、反内卷概念、新疆板块、油品石化贸易、炼化及贸易、特高压、石油石化、融资融券、西部大开发,2026-09-18
000166,申万宏源,证券Ⅱ,非银金融,证券Ⅱ,证券Ⅲ,AH股、HS300_、MSCI中国、互联网金融、券商概念、参股期货、周期股、大盘股、央国企改革、富时罗素、新疆板块、机构重仓、标准普尔、深成500、深股通、深证100R、破净股、科创板做市商、融资融券、西部大开发、证券Ⅱ、证券Ⅲ、证金持股、金融地产风格、非银金融,2026-09-18
000301,东方盛虹,炼化及贸易,石油石化,炼化及贸易,炼油化工,2026中报预增、HS300_、MSCI中国、光伏概念、创投、化工原料、参股银行、周期股、大盘股、富时罗素、标准普尔、江苏板块、深成500、深股通、深证100R、炼化及贸易、炼油化工、环氧丙烷、石油石化、融资融券、转债标的、长江三角,2026-09-18
000333,美的集团,白色家电,家用电器,白色家电,空调,AH股、HS300_、MSCI中国、人形机器人、净水概念、券商金股、医疗器械概念、参股银行、国产芯片、大盘股、央视50_、家用电器、工业互联网、广东板块、数据中心、新能源车、智能家居、机构重仓、权重股、标准普尔、消费风格、液冷服务器、深成500、深股通、深证100R、物联网、白色家电、空气能热泵、空调、股权激励、茅指数、融资融券、行业龙头、证金持股、超级品牌、鸿蒙概念,2026-09-18
000338,潍柴动力,汽车零部件,汽车,汽车零部件,底盘与发动机系统,AH股、HS300_、MSCI中国、QFII重仓、一带一路、先进制造风格、券商金股、固态电池、大盘股、央国企改革、富时罗素、山东板块、底盘与发动机系统、数据中心、新能源车、智能驾驶、机构重仓、标准普尔、氢能源、汽车、汽车零部件、深成500、深股通、深证100R、燃料电池概念、电池技术、节能环保、融资融券、行业龙头,2026-09-18
000400,许继电气,电网设备,电力设备,电网设备,电网自动化设备,一带一路、中盘价值、中盘股、中证500、储能概念、充电桩、光伏概念、可控核聚变、央国企改革、富时罗素、抽水蓄能、换电概念、数据中心、无线充电、智能电网、标准普尔、氢能源、河南板块、深成500、深股通、特高压、电力设备、电网概念、电网自动化设备、电网设备、融资融券,2026-09-18
000401,金隅冀东,水泥,建筑材料,水泥,水泥制造,京津冀、低市净率、反内卷概念、央国企改革、富时罗素、小盘价值、小盘股、建筑材料、机构重仓、标准普尔、水利建设、水泥、水泥制造、河北板块、深股通、破净股、破增发价股、融资融券、转债标的、长期破净、雄安新区,2026-09-18
000402,金 融 街,房地产开发,房地产,房地产开发,商业地产,低价股、低市净率、北京板块、商业地产、央国企改革、富时罗素、房地产、房地产开发、标准普尔、深股通、破净股、破增发价股、碳交易、融资融券、长期破净,2026-09-18
000403,派林生物,生物制品,医药生物,生物制品,血液制品,2026中报预减、医药生物、央国企改革、富时罗素、小盘价值、小盘股、山西板块、深股通、生物制品、破增发价股、股权激励、融资融券、血液制品,2026-09-18
000404,长虹华意,家电零部件Ⅱ,家用电器,家电零部件Ⅱ,家电零部件Ⅲ,价值股、央国企改革、家用电器、家电零部件Ⅱ、家电零部件Ⅲ、新能源车、智能家居、江西板块、汽车热管理、深股通、病毒防治、节能环保、融资融券、贬值受益,2026-09-18
000405,ST鑫光,,休闲、生活及专业服务,专业服务,调查与咨询服务,,2026-09-18
000406,石油大明,,化石能源,石油天然气,石油加工,,2026-09-18
000407,胜利股份,燃气Ⅱ,公用事业,燃气Ⅱ,燃气Ⅲ,公用事业、天然气、山东板块、并购重组概念、机构重仓、油气资源、燃气Ⅱ、燃气Ⅲ,2026-09-18
000408,藏格矿业,农化制品,基础化工,农化制品,钾肥,2026中报预增、HS300_、MSCI中国、农化制品、反内卷概念、基础化工、大盘股、央国企改革、小金属概念、机构重仓、深成500、深股通、深证100R、电池技术、融资融券、西部大开发、钾肥、锂电池概念、锂矿概念、青海板块,2026-09-18
000409,云鼎科技,IT服务Ⅱ,计算机,IT服务Ⅱ,IT服务Ⅲ,IT服务Ⅱ、IT服务Ⅲ、互联网服务、人工智能、华为概念、卫星导航、参股新三板、多模态AI、央国企改革、山东板块、工业互联网、数据中心、数据要素、深股通、物联网、网络安全、计算机,2026-09-18
000410,沈阳机床,通用设备,机械设备,通用设备,机床工具,2026中报首亏、东北振兴、人工智能、央国企改革、小盘成长、小盘股、工业互联网、工业母机、并购重组概念、机床工具、机构重仓、机械设备、深股通、破增发价股、融资融券、辽宁板块、通用设备,2026-09-18
000411,英特集团,医药商业,医药生物,医药商业,医药流通,SPD概念、价值股、内贸流通、冷链物流、创新医疗服务、医疗器械概念、医美概念、医药商业、医药流通、医药生物、央国企改革、数字经济、浙江板块、深股通、跨境电商、长江三角,2026-09-18
000412,ST五环,,综合,综合,综合,,2026-09-18
000413,ST旭电,,电子设备,电子器件,显示器件,,2026-09-18
000415,渤海租赁,多元金融,非银金融,多元金融,租赁,2026中报扭亏、中盘价值、中盘股、中证500、低空经济、参股保险、多元金融、富时罗素、新疆板块、机构重仓、标准普尔、深成500、深股通、滨海新区、破净股、租赁、融资融券、西部大开发、金融地产风格、非银金融,2026-09-18
000416,*ST民控,,金融,非银行金融,其他非银行金融,,2026-09-18
000417,合百集团,一般零售,商贸零售,一般零售,多业态零售,2026中报预减、一般零售、乡村振兴、充电桩、内贸流通、冷链物流、创投、参股银行、商贸零售、地摊经济、多业态零售、央国企改革、安徽板块、新零售、深股通、破净股、破增发价股、融资融券、跨境电商、退税商店、零售概念、预制菜概念、食品安全、首发经济、黄金概念,2026-09-18
000418,小天鹅A,,家电,白色家电,白色家电,,2026-09-18
000419,通程控股,一般零售,商贸零售,一般零售,多业态零售,一般零售、内贸流通、参股银行、商贸零售、多业态零售、央国企改革、新零售、湖南板块、电商概念、破净股,2026-09-18
000420,吉林化纤,化学纤维,基础化工,化学纤维,粘胶,东北振兴、低空经济、冰雪经济、化学纤维、吉林板块、基础化工、央国企改革、深股通、破增发价股、碳纤维、粘胶、融资融券,2026-09-18
000421,南京公用,综合Ⅱ,综合,综合Ⅱ,综合Ⅲ,2026中报预增、充电桩、天然气、央国企改革、换电概念、江苏板块、油气资源、综合、综合Ⅱ、综合Ⅲ、长江三角,2026-09-18
000422,湖北宜化,农化制品,基础化工,农化制品,氮肥,光刻胶、农化制品、化工原料、基础化工、央国企改革、小盘价值、小盘股、氟化工概念、氮肥、深成500、深股通、湖北板块、湖北自贸、煤化工概念、电池技术、磷化工、股权激励、融资融券、转债标的、锂电池概念、降解塑料,2026-09-18
000423,东阿阿胶,中药Ⅱ,医药生物,中药Ⅱ,中药Ⅲ,MSCI中国、中盘价值、中盘股、中药Ⅱ、中药Ⅲ、中药概念、中证500、创投、医药医疗风格、医药生物、基金重仓、央国企改革、央视50_、富时罗素、山东板块、机构重仓、标准普尔、深成500、深股通、电商概念、融资融券、超级品牌,2026-09-18
000425,徐工机械,工程机械,机械设备,工程机械,工程机械整机,HS300_、MSCI中国、一带一路、乡村振兴、人工智能、先进制造风格、军工、大盘价值、大盘股、央国企改革、富时罗素、工业互联网、工程机械、工程机械整机、工程机械概念、新能源车、机器人概念、机械设备、标准普尔、江苏板块、深成500、深股通、深证100R、融资融券、雅下水电概念,2026-09-18
000426,兴业银锡,贵金属,有色金属,贵金属,白银,2026中报预增、MSCI中国、QFII重仓、内蒙古、大盘成长、大盘股、富时罗素、小金属概念、有色金属、标准普尔、深成500、深股通、白银、融资融券、西部大开发、贵金属、高成长股、黄金概念,2026-09-18
000428,华天酒店,酒店餐饮,社会服务,酒店餐饮,酒店,内贸流通、参股保险、央国企改革、旅游概念、旅游酒店、湖南板块、破增发价股、社会服务、股权转让、融资融券、酒店、酒店餐饮、预制菜概念,2026-09-18
000429,粤高速Ａ,铁路公路,交通运输,铁路公路,高速公路,AB股、中盘价值、中盘股、中证500、交通运输、充电桩、参股券商、央国企改革、广东板块、机构重仓、标准普尔、深成500、深股通、粤港自贸、红利股、绿色电力、融资融券、铁路公路、高速公路,2026-09-18
