# GoalTracker 股价数据（行情快照，由 fetch_prices.py 生成）
股票代码,公司,现价,涨跌额,涨跌幅%,5日涨幅%,本月涨幅%,市盈率(动),市净率,换手率%,成交量(手),成交额(亿),总市值(亿),流通市值(亿),总股本(亿股)
301207.SZ,华兰疫苗,20.35,1.04,5.39,12.24,15.2,167.81,2.32,0.4,24043.0,0.4749,122.3091,122.2298,6.0103
301208.SZ,中亦科技,30.66,-0.29,-0.94,4.96,-0.46,79.93,2.35,0.09,617.0,0.019,36.792,20.6712,1.2
301209.SZ,联合化学,63.45,0.13,0.21,5.93,6.85,852.96,13.27,0.02,324.0,0.0206,99.4896,84.9952,1.568
301210.SZ,金杨精密,31.06,0.25,0.81,6.08,25.49,46.79,2.64,0.38,2311.0,0.0714,50.056,19.117,1.6116
301211.SZ,亨迪药业,12.64,-0.04,-0.32,11.76,4.2,87.58,2.32,0.14,5780.0,0.0728,52.7846,52.7842,4.176
301212.SZ,联盛化学,26.71,-0.29,-1.07,6.37,5.16,75.81,2.12,0.09,855.0,0.0229,28.8468,25.0406,1.08
301213.SZ,观想科技,46.39,-1.41,-2.95,16.65,14.09,-1513.74,6.6,0.97,7028.0,0.332,51.9568,33.5843,1.12
301215.SZ,中汽股份,5.34,-0.01,-0.19,2.5,-1.11,26.99,2.38,0.05,6716.0,0.0358,70.6963,70.6162,13.239
301216.SZ,万凯新材,17.59,0.02,0.11,-1.24,-13.68,9.08,1.56,0.15,8240.0,0.144,102.0579,95.797,5.802
301217.SZ,铜冠铜箔,114.28,-0.26,-0.23,-0.24,-7.07,220.45,16.89,0.22,18538.0,2.0986,947.399,947.399,8.2902
301218.SZ,华是科技,47.96,0.17,0.36,10.13,-17.1,-187.25,6.03,0.5,3594.0,0.171,54.6936,34.3888,1.1404
301219.SZ,腾远钴业,41.66,0.05,0.12,1.54,-8.92,9.05,1.61,0.11,2880.0,0.1202,159.4875,113.8318,3.8283
301220.SZ,亚香股份,33.22,-0.23,-0.69,5.46,20.37,79.83,2.18,0.12,934.0,0.0312,37.5409,25.9521,1.1301
301221.SZ,光庭信息,27.48,-0.23,-0.83,7.98,-5.0,-61.33,1.77,0.24,2144.0,0.0595,36.1088,24.5509,1.314
301222.SZ,浙江恒威,26.74,-0.41,-1.51,5.03,5.87,42.78,2.63,0.21,2237.0,0.06,37.5264,28.5049,1.4034
301223.SZ,中荣股份,18.1,-0.09,-0.49,3.96,5.42,21.8,1.17,0.02,458.0,0.0083,34.9561,34.9561,1.9313
