# GoalTracker 财报跟踪
股票代码,公司名称,行业,板块,林奇类型,披露日期,报告期,季度,营业收入,营收同比,毛利润,净利润,扣非净利润,扣非净利同比,经营现金流,销售收现,资本开支,ROE,毛利率,预期营收,预期净利,预期营收同比,预期净利同比
600155.SH,华创云信,非银金融,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,17.5813085944,33.941238992,,2.3864305516,2.3253372844999998,245.059425448367,26.133744965300004,3.4816,0.6569,1.19,,,,,
601727.SH,上海电气,电力设备,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,633.31968,16.6,118.1918,9.69994,5.50135,0.816966813701,32.59299,692.367,20.843,1.76,18.2733817743,1349.17166666667,15.688333333333299,6.503530649345,30.062064462037
603186.SH,华正新材,电子,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,29.5990482948,41.2788891917,4.7147,1.7292998194999998,1.6653007831,385.105041421957,3.769709902,23.7012,1.0476,7.86,15.9287171721,68.67,5.23,57.168082241695,89.004205096991
603048.SH,浙江黎明,汽车,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,3.9930953867000003,16.9742689876,1.371,0.2619223199,0.23516597239999998,-12.215487503532,-0.11378284109999999,3.0903,0.1635,2.06,34.3336081894,,,,
601162.SH,天风证券,非银金融,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,15.8773793375,29.9432079513,,2.0375271766,2.1532380175,801.76843828525,34.7744230033,,,0.75,,34.93,3.48,22.401372984318,123.318465675034
603557.SH,*ST起步,纺织服饰,上交所风险警示板A股,,2026-08-31,2026-06-30,2026Q2,6.0395722497,603.6201292904,0.3409,-0.4271055873,-0.4894240671,19.75266825879,-0.4590294085,5.239,0.0306,-66.94,5.6448055277,,,,
600988.SH,赤峰黄金,有色金属,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,70.17772302520001,33.1130924648,40.3845,17.322924212100002,17.3836167232,56.34033215043,18.8038525336,69.9474,14.047,12.31,57.546091123,163.719478947368,49.255636842105304,29.540213043649,59.798051923126
603172.SH,万丰股份,基础化工,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,3.4205614663999997,24.2141139843,0.9465,0.3305177593,0.3248478596,33.11585636458,0.0427862779,1.366,0.351,2.98,27.669744248,,,,
603638.SH,艾迪精密,机械设备,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,22.619587093099998,44.2065334804,6.4823,3.0573721801,2.9000744279000004,56.399880053409,0.570078525,12.3334,0.6356,7.96,28.6578492491,42.46856,5.45356,32.877936248838,38.529424806137
603825.SH,ST华扬,传媒,上交所风险警示板A股,,2026-08-31,2026-06-30,2026Q2,7.6433941797000005,24.2911225455,1.3098,-1.231194269,-1.0940006292,46.87826383747,-1.8135261437999999,10.4688,0.023,,17.1360406608,,,,
601872.SH,招商轮船,交通运输,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,196.5121404535,56.1524780529,88.3871,69.5950045903,69.0732573556,262.364152720275,81.3058009103,187.3535,47.5368,15.61,44.9779229906,401.1,146.38,42.34740711782,143.469885318908
600310.SH,广西能源,公用事业,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,19.2116075289,17.3982990757,5.9184,1.2416670754999999,1.1018033881,235.947236681532,7.0837786789,20.8169,3.7334,4.41,30.8064333445,41.86,2.44,12.739387720906,215.662846590053
601555.SH,东吴证券,非银金融,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,57.5096922317,29.8784392402,,24.2049338711,24.1336887392,25.61577039982,55.6521867584,,,5.53,,92.73214285714279,36.7209285714286,2.689237475903,3.376627035633
600031.SH,三一重工,机械设备,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,535.06463,19.4868647877,150.1023,56.90229,46.81837,-13.450647959623,97.67583,527.5361,11.1654,6.16,27.7819043049,1034.32725714286,106.204557142857,15.310252508401,26.312841531471
600150.SH,中国船舶,国防军工,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,915.298416046,26.005331272,158.9518,99.5356775653,97.423902,237.026146016835,109.1833671741,865.8022,16.5633,6.71,17.3661199239,1829.95,189.37,20.409148160928,141.283391273786
603188.SH,亚邦股份,基础化工,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,4.7142106721,17.230396259,0.824,0.09938769609999999,0.08862034349999999,1605.36002662368,-0.5003819391,2.0319,0.1119,1.43,17.4796938664,,,,
601156.SH,东航物流,交通运输,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,142.525635336,26.6168652106,22.3896,14.1830900555,12.5222826307,8.306250678173,40.3854075297,131.9391,5.3849,6.95,15.7092061222,287.47125,28.78625,18.474056207002,7.08990771353
603175.SH,超颖电子,电子,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,29.120435667,33.2879043202,4.4285,-1.9120567222,-2.044428471,-244.312338360511,0.6585454103,26.3372,13.5602,-6.99,15.2075954551,,,,
600061.SH,国投资本,非银金融,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,79.7370192302,31.42,79.6267,21.9852056134,23.005576663200003,37.085366897577,420.9473226181,,1.1686,4.0,65.7845792659,,,,
603007.SH,顺景科技,汽车,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,3.7730098863999997,2411.7201704644,0.6418,0.4455558851,-0.2704720451,29.480862121388,-0.14300782410000001,2.6806,0.3918,15.89,17.0112712085,,,,
605566.SH,福莱蒽特,基础化工,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,4.9460769357,28.5505025218,1.1135,0.401091895,0.3925488278,19.374675817569,0.5713133126,2.3422,0.0392,1.98,22.5128459358,,,,
603876.SH,鼎胜新材,有色金属,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,154.66195962790002,16.1660688599,17.4486,4.7988131078,4.7131038825,171.805780852604,7.4149059178,119.8331,1.737,6.23,11.2817579127,301.80666666666696,11.2733333333333,14.740289548241,119.807618826118
605133.SH,嵘泰股份,汽车,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,18.6781021451,39.4278735251,4.3809,0.8780819595,0.7867279068999999,-6.936425007089,2.7428308555000003,14.6952,2.1684,2.29,23.4547855974,40.9073666666667,2.4098,26.769160055599,26.289030967805
601901.SH,方正证券,非银金融,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,73.4059686945,29.622393724,,29.573395336100003,29.950503662800003,26.741995796305,32.6611021248,,,5.68,,126.863316666667,49.1410166666667,20.781391378046,23.779057709407
603738.SH,泰晶科技,电子,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,5.4562599288,18.9069007767,1.1706,0.5068247548,0.3751446336,241.844810044687,0.8030407240999999,3.8567,0.6762,2.8,21.4533447503,12.16,0.78,28.849578627994,49.355541551593
603629.SH,利通电子,电子,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,21.0115026185,38.5751502156,9.7915,7.0241393808,6.1479803637,1088.94980206613,25.7321913454,147.0296,0.8315,29.83,46.6006579124,,,,
003038.SZ,鑫铂股份,有色金属,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,46.547111774799994,16.4924866584,1.7926,-0.5263952512,-0.9875481240999999,-734.354061392323,-4.4420311824,44.6733,4.0965,-1.89,3.851236462,,,,
600171.SH,上海贝岭,电子,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,16.059304131300003,19.2215414773,4.4123,1.1416387293,1.0576584953000001,-9.0567986444,-0.3456323762,13.5709,0.1421,2.51,27.4748900732,,,,
000066.SZ,中国长城,计算机,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,79.5805168414,25.0039290227,13.4589,3.1204840850999997,-3.1601370744999997,26.012145855545,-8.6531495456,82.9133,2.0941,2.79,16.9123587186,181.662428571429,1.991,14.913672194362,457.291577935594
600037.SH,歌华有线,传媒,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,13.4836237566,44.479091648,1.57,2.1343304015,2.0141569384,896.343276387894,0.9514302715,10.6763,2.2342,1.67,11.6440713116,24.04,1.83,8.300261909143,433.323707938139
601108.SH,财通证券,非银金融,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,43.4727484085,46.8976206673,,18.99804918,18.6241979338,79.427654393001,-30.3730059536,,,4.91,,79.18513571428569,31.0594214285714,14.392147540551,17.995398856959
000750.SZ,国海证券,非银金融,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,22.1200049056,39.4362134006,,5.5081706587,5.5167238384,49.563050251271,71.9476003466,,,2.41,,,,,
600186.SH,莲花控股,食品饮料,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,19.1413641149,18.1013261159,5.6387,2.4359947017,2.0258724562,25.516919064026,-1.3681756197,18.3423,0.037,12.46,29.4584148154,42.8757142857143,4.54571428571429,24.19320581562,47.05365824452
003032.SZ,传智教育,社会服务,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,2.602768291,59.6629196377,1.5382,0.3441805843,0.2532880395,334.303197433356,0.8864006033,3.0542,0.8101,2.9,59.1003465779,5.95,0.63,56.838379754141,169.652924276642
603435.SH,嘉德利,电子,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,4.4594207458,21.3450460804,1.9084,1.3580075643,1.3251158819,4.705249925789,0.9061359294,4.2556,1.8211,8.51,42.7936827153,,,,
600026.SH,中远海能,交通运输,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,151.46096669989998,30.0307715685,62.6943,45.449977808199996,44.4913951272,150.88409150969,69.6163620625,144.8653,57.8172,9.26,41.3930433282,354.630046666667,122.48974,48.428842558738,203.394369184598
000069.SZ,华侨城A,房地产,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,130.3182699002,15.1498421799,14.3075,-34.8762840261,-34.8450653571,-19.524353416541,-20.5761124373,97.0219,3.8672,-10.53,10.9788691072,294.553333333333,-76.39,-6.137019525676,47.303095768757
000009.SZ,中国宝安,综合,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,133.5394955143,23.1992893596,31.8168,-0.297328725,-0.38809874759999996,-130.620011227103,0.8469798457,97.589,13.2801,-0.3,23.8257283719,,,,
002815.SZ,崇达技术,电子,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,43.301294140500005,22.5542132845,8.7182,1.5221373546,1.4782760374000001,-31.991867179898,4.6838846221,34.0214,5.2072,1.7,20.133892907,,,,
002780.SZ,三夫户外,纺织服饰,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,5.2667359815,39.3745965731,3.2412,0.5320464129,0.4329082282,181.907384430546,0.4462446343,5.888,0.0395,6.56,61.5413059072,12.4233333333333,1.005,30.003042876685,88.374424060311
000776.SZ,广发证券,非银金融,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,268.8291536565,74.59,,116.5173739581,119.0455797524,88.625719119001,300.6273733081,,,8.08,,455.078738095238,189.3442,28.217259693526,38.191827889957
600358.SH,国旅联合,传媒,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,2.4497369724,26.0576508708,0.1586,-0.062148782699999995,-0.1444691887,9.343799495566,-0.6594215026,2.3833,,-12.23,6.4757960298,,,,
600546.SH,山煤国际,煤炭,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,103.54585578209999,21.6251906062,43.4546,10.0950849507,10.448902095,53.194928951319,25.6053576421,151.3272,6.3056,6.06,41.966565921,241.602727272727,22.6027272727273,18.015071181327,93.77638313372
003018.SZ,金富科技,轻工制造,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,7.380777168,82.3784719133,2.6573,0.9618098383,0.9658049693999999,116.416092386489,0.17694392399999997,4.9714,0.7628,5.86,36.0023356567,16.957142857142898,2.37285714285714,123.072960557475,135.20834659488
603989.SH,艾华集团,电子,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,22.701194842,15.3532638586,4.5866,1.6972750324,1.5424492034000001,14.269500343131,0.3690815151,11.5394,0.1116,4.28,20.2043631277,42.895,3.43,8.006194981034,29.423302531171
601881.SH,中国银河,非银金融,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,168.5000362428,22.5762461944,,77.9706090751,77.8081576238,19.989858029664,733.2707771041,,,6.0,,369.714654545455,168.422254545455,30.63082688428,34.525589067174
002175.SZ,*ST东智,机械设备,深交所风险警示板A股,,2026-08-29,2026-06-30,2026Q2,1.7913043224,18.6732108588,0.4642,0.031097549199999998,0.013381340600000001,-48.284676807786,-0.3982914443,1.5512,0.0959,0.4,25.9162322836,,,,
002701.SZ,奥瑞金,轻工制造,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,138.81155811,18.3735402862,19.1523,7.63084564,5.44113894,35.69885555191,3.49678048,125.4536,3.0438,7.59,13.7973492991,259.386094117647,12.4100941176471,7.986634195252,23.275394214755
000716.SZ,黑芝麻,食品饮料,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,11.918267439100001,28.4696580895,2.7723,0.3128356041,0.3101312887,824.245835772473,1.8347887131,12.118,0.3405,1.25,23.2605240289,,,,
603712.SH,七一二,国防军工,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,7.606288224,20.5662305973,2.3594,-1.1083627818000001,-1.3778421641999998,-4.931287681485,-0.6462922737,11.8472,0.14,-2.89,31.018843841,21.93375,-1.60605,2.113309438303,67.364489910481
002597.SZ,金禾实业,基础化工,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,30.3713657618,24.2854944887,5.9535,2.5567222565,2.3658003157,-30.060512457799,4.3936612066,31.0628,3.3847,3.23,19.6023327683,57.574628571428605,6.73676428571429,17.234138731398,94.109019220503
002768.SZ,国恩股份,基础化工,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,115.1443941946,18.052355248,15.2888,6.5480943114,6.4027640792,91.844322587716,3.2063486589999997,113.5188,13.3438,9.68,13.2779354612,257.544,11.772,21.190156876471,39.928166634467
002289.SZ,宇顺电子,电子,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,5.4712359777,306.7871065301,2.1503,2.8042624026999996,0.7171696703,1397.65100939941,1.522112177,6.2801,0.5019,78.71,39.3012887721,23.35,4.48,613.136356717172,3170.96164223792
002264.SZ,新华都,传媒,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,21.618294769299997,16.3250728568,4.1998,1.4165752025999998,1.1486686565000002,-8.587537285675,5.756200280800001,23.2409,0.0022,6.84,19.4270566454,36.83,1.91,15.554949572306,12.703030088356
002266.SZ,浙富控股,环保,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,134.39578909989999,26.2832705021,22.4784,13.557040495899999,12.521186208,194.889914491485,12.1066448353,149.7088,1.4828,10.71,16.7255553381,273.338333333333,22.126666666666697,17.749415022627,97.955381619699
002498.SZ,汉缆股份,电力设备,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,57.3508401928,24.9629623506,7.7258,3.1401535956999997,2.8206966877,15.640103826705,-9.6756551024,53.5929,0.3039,3.55,13.4710855983,,,,
600513.SH,联环药业,医药生物,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,15.708141700699999,22.2097889921,4.5042,0.1052180308,0.0875177259,-55.140661047614,-0.8461661189,13.6387,1.1154,0.82,28.6742108833,,,,
000801.SZ,四川九洲,家用电器,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,25.9562674319,19.8063804814,4.7146,0.8119837222,0.4861064249,26.182583395033,-1.5650013122,31.1698,0.9584,2.3,18.1637563412,48.3766666666667,2.24666666666667,17.657679244656,25.406393321107
603863.SH,松炀资源,轻工制造,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,2.8030710182,25.9102860955,-0.0055,-0.2923716261,-0.2655142598,42.034239451444,-0.11463305509999999,3.1546,0.0486,-12.57,-0.1947686329,,,,
603035.SH,常熟汽饰,汽车,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,34.912076138,25.578296278,4.2299,1.165821352,0.8266274914,-52.418047167117,2.6079863473,26.3995,2.0533,2.19,12.1158073659,79.48,3.74,11.78853368555,8.03145885591
002253.SZ,川大智胜,计算机,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,0.6553122503000001,20.2075094767,0.0909,-0.29519219760000004,-0.3313787227,9.832625056323,0.2492621052,2.859,0.0307,-3.47,13.8746131265,,,,
003010.SZ,若羽臣,商贸零售,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,22.8560133475,73.2873669929,14.9639,1.6745357907,1.5949433483000002,128.647152081344,2.3744898759999997,24.8864,0.1012,20.85,65.4704775272,57.206382608695606,3.86972608695652,66.696125903229,99.058603634413
001266.SZ,宏英智能,机械设备,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,7.0723562106,114.469109304,1.4244,0.4266450671,0.39073283670000003,187.360318300403,-1.6663423244,3.7737,0.1734,4.42,20.1400400812,,,,
603976.SH,正川股份,医药生物,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,3.8058357289,17.5846792876,0.6603,0.1228659984,0.0708092337,-30.653942184482,0.7932594381,3.6601,0.4751,1.03,17.3501577508,7.0717,0.2618,6.441830197486,38.490896179535
000426.SZ,兴业银锡,有色金属,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,42.8169700856,73.1308206683,29.4378,22.630561684099998,18.1608715918,126.600771667754,21.12766541,45.4839,4.0346,21.32,68.7527609771,85.36,38.93,53.656351251486,128.430364425693
002988.SZ,豪美新材,有色金属,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,41.439647655,15.6038218232,3.9947,0.8101576194,0.7993007015000001,-8.75695570641,-1.6021848636000002,36.9314,2.3079,3.01,9.6397292531,88.20195,2.39745,13.402202551523,102.534672568648
000034.SZ,神州数码,计算机,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,869.1852850523,21.4191704047,28.2337,4.9605772104,4.5179706337,3.613044298683,-6.3543625621,1159.7874,1.9905,4.41,3.2482905946,1621.10783333333,8.23411666666667,12.771899427697,57.456996069894
600543.SH,*ST莫高,食品饮料,上交所风险警示板A股,,2026-08-29,2026-06-30,2026Q2,1.7615666425999998,45.7991575632,0.2025,-0.285704507,-0.28982778730000003,8.98321084072,-0.4097352157,1.1388,0.053,-4.15,11.4955823642,,,,
002077.SZ,大港股份,电子,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,2.3317041467,45.5538639891,0.4384,0.5454392542000001,0.33265517559999996,4.322196545695,0.5755262072999999,2.0702,0.22,1.62,18.8036101802,,,,
000938.SZ,紫光股份,计算机,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,635.1582406948,33.9296150712,85.1474,21.669476423899997,18.7356630298,67.594565304524,-42.086079821599995,770.692,3.7531,13.32,13.4056966831,1219.35,30.0,26.032867033265,77.95851066218
600958.SH,东方证券,非银金融,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,95.60127165280001,19.4842739092,,45.184712178000005,44.1824725311,30.956046509203,93.15506462290001,,,5.5,,172.823075,68.191095,12.528280546199,21.044420492506
000573.SZ,粤宏远A,房地产,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,3.1902746506999997,32.1976233395,0.1182,0.4523589099,0.280324102,301.439977551959,-0.105819043,3.5977,0.0006,2.8,3.7059789374,,,,
000800.SZ,一汽解放,汽车,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,375.7096116448,33.8058898613,20.5264,3.0646540739,0.3316610088,108.805838139865,64.7757306718,298.7455,2.5893,1.15,5.4633725134,755.22,12.08,20.492036676409,66.72528737432
601990.SH,南京证券,非银金融,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,18.2571863894,18.8911063224,,7.9550522463,7.960420915599999,28.846742500204,-4.5966022425999995,,,3.41,,37.85,14.67,34.90232867947,36.129093454475
601616.SH,广电电气,电力设备,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,5.1891666612,30.5636034123,1.183,-0.2836315527,-0.320753159,-2816.97607192269,-2.0529334054,3.6168,0.0429,-1.19,22.7973968623,,,,
001356.SZ,富岭股份,轻工制造,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,12.6736793928,24.7657846939,2.2335,0.42492618590000003,0.4017717692,-38.323629840283,-0.5882439202,11.8125,1.6688,2.11,17.6231212979,,,,
000949.SZ,新乡化纤,基础化工,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,45.783645505900004,22.490768673,7.5113,3.445105545,3.2762981595,801.085095433414,8.1818501508,31.3448,6.1019,5.02,16.4060538249,88.8185714285714,6.55714285714286,13.046757828613,231.164652355958
603327.SH,福蓉科技,电子,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,14.569426509300001,23.533055794,1.5448,0.6816402042,0.6345143103,77.247682953289,0.152612819,14.0511,1.0564,2.81,10.603299644,,,,
603270.SH,金帝股份,机械设备,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,11.458383791600001,37.2759016195,3.0455,0.6769197586,0.6295956932,-12.420588456351,-1.4254151007,6.2618,4.8746,2.95,26.5783739896,27.04625,2.0481,33.861367525422,39.154880861051
601696.SH,中银证券,非银金融,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,19.2192641371,27.696650936,,7.4614088049000005,7.0007660958,32.348906443743,199.9642278401,,,3.86,,,,,
002197.SZ,证通电子,计算机,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,5.1759212317,18.3761415722,1.5694,0.0571952097,0.0171086381,104.708852475415,0.8542581694,5.3772,1.3976,0.32,30.3203300929,,,,
603389.SH,亚振家居,轻工制造,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,3.1897983738,305.8197263624,0.2425,-0.1629264833,-0.3352954049,-15.831784956724,-1.583138797,4.4979,0.1697,-7.84,7.6038591433,,,,
002975.SZ,博杰股份,机械设备,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,11.216627662899999,66.8401805729,5.5349,1.7101410087,1.6773476271,1074.50911270199,0.9901248907,11.5348,0.8989,7.19,49.3459165415,24.7066666666667,3.3133333333333304,34.576492733467,126.43855139293
603308.SH,应流股份,机械设备,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,18.2951675259,32.2281689315,6.2255,2.2124137858,2.147023436,14.848782118371,-1.4534164487999999,9.4303,5.0843,4.28,34.0279676734,39.2162375,5.95556875,34.356183146491,70.822143737496
605376.SH,博迁新材,有色金属,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,8.898262925800001,71.6002103122,2.5427,1.3559880404,1.2855886787000002,31.085332452034,-0.4960188672,7.531,1.9922,7.72,28.5748276939,23.68393,6.27923,105.631951952369,186.477387035885
603776.SH,永安行,汽车,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,3.2165931049000003,66.5216875458,0.256,-0.1535276501,-0.1504162705,77.752975543081,-0.1195322928,2.196,0.051,-0.45,7.9596456453,,,,
001336.SZ,楚环科技,环保,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,1.5572786215,33.5744805586,0.572,0.1707714961,0.1584486687,73.911365986716,-0.0737665272,1.7608,0.0943,2.09,36.7331171508,,,,
603211.SH,晋拓股份,汽车,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,7.1630770799,18.3618118302,1.2163,0.182991577,0.2497419282,-21.513559636417,-0.2044106677,5.2506,0.9581,1.46,16.9804648398,,,,
000612.SZ,焦作万方,有色金属,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,41.4808265165,25.3756439519,15.683,12.3017672971,12.181971273399999,128.197517078214,11.6491812248,46.3094,0.1571,15.89,37.8078892048,,,,
603718.SH,*ST海利,医药生物,上交所风险警示板A股,,2026-08-29,2026-06-30,2026Q2,1.3589143163,23.7887000041,0.8387,0.1145377358,0.10482485359999999,-32.237884455226,0.2254914761,1.4117,0.048,1.28,61.717847567,,,,
002156.SZ,通富微电,电子,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,160.4101990975,23.0305036236,24.7892,17.17458597,7.4746128661,77.781789221803,29.327669617399998,163.6179,51.9873,10.54,15.4536234754,330.065555555556,18.406666666666702,18.21229024675,51.034246933126
603709.SH,中源家居,轻工制造,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,10.112691357300001,39.6967206253,2.2826,0.0334893613,-0.0633414097,56.623220821994,0.043350521399999994,7.9855,0.1719,0.66,22.5712417135,,,,
601021.SH,春秋航空,交通运输,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,123.36145333,19.716477663,12.8272,10.42273979,10.26534609,-10.629850289796,34.62819745,142.5789,44.8419,5.69,10.398078106,255.378125,19.741875,19.004520599591,-14.810301425031
603235.SH,天新药业,基础化工,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,13.0938253334,16.664336888,5.3776,3.1932479900999997,2.9796989905,-11.391864742797,3.8357717914,11.9834,1.7157,6.34,41.0696037634,,,,
601995.SH,中金公司,非银金融,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,193.02467972,50.4712970942,,81.99268268,80.34596109,89.364484245868,636.42846857,,,7.6,,371.130583333333,139.105383333333,30.307791550346,42.081529773404
